Epoch,Accuracy
1,0.1533
2,0.1794
3,0.2136
4,0.254
5,0.2931
6,0.3304
7,0.3613
8,0.3917
9,0.418
10,0.4418
11,0.4581
12,0.4718
13,0.4831
14,0.4926
15,0.4986
16,0.5019
17,0.5038
18,0.5026
19,0.5034
20,0.5022
21,0.4998
22,0.4968
23,0.4956
24,0.4928
25,0.4915
26,0.4902
27,0.4874
28,0.485
29,0.4841
30,0.4832
31,0.4849
32,0.4859
33,0.4887
34,0.4919
35,0.4963
36,0.5017
37,0.5069
38,0.5123
39,0.5203
40,0.5275
41,0.5353
42,0.5442
43,0.5555
44,0.5648
45,0.5743
46,0.5833
47,0.5933
48,0.6037
49,0.6114
50,0.6192
51,0.6282
52,0.6348
53,0.6414
54,0.6506
55,0.657
56,0.663
57,0.6697
58,0.6754
59,0.6797
60,0.6845
61,0.6878
62,0.6919
63,0.6973
64,0.7009
65,0.7058
66,0.709
67,0.7127
68,0.7171
69,0.7196
70,0.724
71,0.7282
72,0.7316
73,0.7336
74,0.7354
75,0.7386
76,0.7414
77,0.7447
78,0.7467
79,0.7486
80,0.7513
81,0.7536
82,0.7574
83,0.7605
84,0.7637
85,0.7654
86,0.7684
87,0.7709
88,0.7732
89,0.7763
90,0.7787
91,0.7805
92,0.782
93,0.7832
94,0.785
95,0.7877
96,0.7893
97,0.7913
98,0.7927
99,0.7941
100,0.7948
